_ra_,_dec_,_searchID_,MatchID,distanceArcMin,MatchRA,MatchDec,DSigma,AbsCorr,NumFilters,NumVisits,NumImages,StartTime,StopTime,StartMJD,StopMJD,TargetName,CI,CI_Sigma,KronRadius,KronRadius_Sigma,Extinction,W2_F170W,W2_F170W_MAD,W2_F170W_N,W2_F255W,W2_F255W_MAD,W2_F255W_N,W2_F300W,W2_F300W_MAD,W2_F300W_N,W2_F336W,W2_F336W_MAD,W2_F336W_N,W3_F336W,W3_F336W_MAD,W3_F336W_N,W2_F439W,W2_F439W_MAD,W2_F439W_N,A_F475W,A_F475W_MAD,A_F475W_N,W3_F475W,W3_F475W_MAD,W3_F475W_N,W2_F555W,W2_F555W_MAD,W2_F555W_N,A_F606W,A_F606W_MAD,A_F606W_N,W3_F606W,W3_F606W_MAD,W3_F606W_N,W2_F702W,W2_F702W_MAD,W2_F702W_N,W3_F775W,W3_F775W_MAD,W3_F775W_N,A_F814W,A_F814W_MAD,A_F814W_N,W2_F814W,W2_F814W_MAD,W2_F814W_N,W3_F814W,W3_F814W_MAD,W3_F814W_N,A_F850LP,A_F850LP_MAD,A_F850LP_N,W3_F105W,W3_F105W_MAD,W3_F105W_N,W3_F110W,W3_F110W_MAD,W3_F110W_N,W3_F140W,W3_F140W_MAD,W3_F140W_N,W3_F160W,W3_F160W_MAD,W3_F160W_N
136.557320317199,56.1709855419006,183,28530322,0.006664170618681818,136.55736755760597,56.17087763096461,22.767366635401896,Y,2,1,2,2015-02-18 02:36:53.890000,2015-02-18 04:06:36.013000,57071.108957050834,57071.17125015054,SDSSJ090613.75+561015.5,2.1499351441086114,0.4273863952653719,0.30709999054670334,0.20916217564172593,0.022784030064940453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.166900634765625,0.0,1,,,,,,,,,,,,,,,,,,,,,,18.583599090576172,0.0,1,,,,,,
157.138892260506,18.7538931564868,198,29821849,0.0011400465953959606,157.1389048365045,18.753907962617447,0.0,Y,1,1,1,2016-06-30 20:03:39.653000,2016-06-30 20:32:52.710000,57569.835875599645,57569.85616559256,SDSSJ102833.33+184513.9,2.7405357786587303,0.0,0.9853999614715576,0.0,0.025598600506782532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.000099182128906,0.0,1,,,,,,
148.575644558278,47.2903196725135,212,62989952,0.0018822734838959913,148.57563669183173,47.29028875837096,21.43302811940614,Y,2,1,2,2015-05-23 16:35:22.130000,2015-05-23 17:05:42.333000,57165.69122833805,57165.71229547914,SDSSJ095418.15+471725.1,2.0714448256926103,0.29822458645922534,0.5220499709248543,0.5210669566937772,0.008771739900112152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.424299240112305,0.0,1,,,,,,,,,,,,,,,,,,,,,,18.332399368286133,0.0,1,,,,,,
148.575644558278,47.2903196725135,212,41986309,0.044981420294976676,148.57596865151163,47.289602936194406,0.0,Y,1,1,1,2015-05-23 16:55:41.823000,2015-05-23 17:05:42.333000,57165.70534510864,57165.71229547914,SDSSJ095418.15+471725.1,4.124999897820609,0.0,1.3142999410629272,0.0,0.008771739900112152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.23579978942871,0.0,1,,,,,,
155.454811815916,63.8685434946908,213,91022569,0.002907633298448496,155.4547180571512,63.86851813333069,0.0,Y,1,1,1,2016-04-26 14:59:48.557000,2016-04-26 15:19:00.590000,57504.62486751843,57504.63820124511,SDSSJ102149.12+635206.8,2.9180356434413364,0.0,0.8995999693870544,0.0,0.007331850007176399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.71470069885254,0.0,1,,,,,,
155.454811815916,63.8685434946908,213,26736537,0.04503686235799818,155.4560504611024,63.868027933331156,0.0,Y,1,1,1,2016-04-26 14:59:48.557000,2016-04-26 15:19:00.590000,57504.62486751843,57504.63820124511,SDSSJ102149.12+635206.8,3.820892742701939,0.0,1.1778000593185425,0.0,0.007331850007176399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.46649932861328,0.0,1,,,,,,
155.454811815916,63.8685434946908,213,81333951,0.04684503779331943,155.4543171559612,63.86929323333055,0.0,Y,1,1,1,2016-04-26 14:59:48.557000,2016-04-26 15:19:00.590000,57504.62486751843,57504.63820124511,SDSSJ102149.12+635206.8,3.989464470318385,0.0,1.2869999408721924,0.0,0.007331850007176399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.24139976501465,0.0,1,,,,,,
194.56363,27.4647,216,48581354,0.0013971008885448684,194.56365514148368,27.46470667448918,0.0,Y,2,1,2,2006-11-21 09:07:23.223000,2006-11-21 11:24:54.257000,54060.38012983091,54060.475627962966,COMA-OUTSKIRTS-3,1.8263889131722626,0.030379370356933,0.19050000607967377,0.0,0.010388460010290146,,,,,,,,,,,,,,,,,,,22.72010040283203,0.0,1,,,,,,,,,,,,,,,,,,,21.510499954223633,0.0,1,,,,,,,,,,,,,,,,,,,,,
194.56363,27.4647,216,55605534,0.04428105125032194,194.5628471415997,27.46445067521222,0.0,Y,2,1,2,2006-11-21 09:07:23.223000,2006-11-21 11:24:54.257000,54060.38012983091,54060.475627962966,COMA-OUTSKIRTS-3,1.1992592502523352,0.05984212480847347,0.4124999940395355,0.0,0.010388460010290146,,,,,,,,,,,,,,,,,,,26.572999954223633,0.0,1,,,,,,,,,,,,,,,,,,,25.773300170898438,0.0,1,,,,,,,,,,,,,,,,,,,,,
220.052934893152,2.79542285734402,221,68187276,0.0022412190777342878,220.05291015747028,2.795450873350693,22.156389234611662,Y,2,1,2,2015-06-15 15:28:01.137000,2015-06-15 15:58:21.343000,57188.64445753256,57188.66552476166,SDSSJ144012.70+024743.5,1.9103246366048787,0.1222742885052548,0.48924998193979263,0.4939140602748763,0.03930317983031273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.78070068359375,0.0,1,,,,,,,,,,,,,,,,,,,,,,17.914400100708008,0.0,1,,,,,,
220.052934893152,2.79542285734402,221,55660900,0.02839470964069574,220.05256573949038,2.7957195233528127,0.0,Y,1,1,1,2015-06-15 15:48:20.830000,2015-06-15 15:58:21.343000,57188.65857439814,57188.66552476166,SDSSJ144012.70+024743.5,4.183392865317208,0.0,1.2765998840332031,0.0,0.03930317983031273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.234899520874023,0.0,1,,,,,,
