sci_data_set_name,sci_targname,sci_hapnum,sci_haspnum,sci_instrume,sci_aper_1234,sci_spec_1234,sci_actual_duration,sci_start_time,sci_pep_id,sci_pi_last_name,sci_ra,sci_dec,sci_refnum,sci_central_wavelength,sci_release_date,sci_stop_time,sci_preview_name,scp_scan_type,sci_hlsp,search_pos,ang_sep
IF2804020,J144252.81+205451.5,1,0,WFC3,UVIS2,F350LP,696.0,2023-06-25T13:26:38.280000,17239,CHILINGARIAN,220.7199592999,20.91464775793,0,5862.50925,2023-12-25T15:24:26,2023-06-25T13:40:22.293000,IF2804020,,,220.71994 20.91437,0.01670054356461549
IF2804030,J144252.81+205451.5,1,0,WFC3,UVIS2,F600LP,669.0,2023-06-25T13:42:50.280000,17239,CHILINGARIAN,220.7199592999,20.91464775793,0,7460.8884,2023-12-25T20:52:58,2023-06-25T13:56:11.287000,IF2804030,,,220.71994 20.91437,0.01670054356461549
IEYF77010,J155831.99+272824.2,1,0,WFC3,UVIS2,F300X,696.0,2023-08-15T12:28:55.457000,17177,CHILINGARIAN,239.6330655455,27.47365383889,0,2813.1549,2024-02-15T16:57:05,2023-08-15T12:42:48.430000,IEYF77010,,,239.63328 27.47338,0.020007108804233228
IEYF77020,J155831.99+272824.2,1,0,WFC3,UVIS2,F475W,696.0,2023-08-15T12:45:31.457000,17177,CHILINGARIAN,239.6330655455,27.47365383889,0,4772.63625,2024-02-15T16:57:40,2023-08-15T12:59:22.447000,IEYF77020,,,239.63328 27.47338,0.020007108804233228
IEYF77030,J155831.99+272824.2,1,0,WFC3,UVIS2,F814W,657.0,2023-08-15T13:01:57.440000,17177,CHILINGARIAN,239.6330655455,27.47365383889,0,8034.189,2024-02-15T18:45:08,2023-08-15T13:15:09.423000,IEYF77030,,,239.63328 27.47338,0.020007108804233228
IEYF17010,J090105.70+523857.8,1,0,WFC3,UVIS2,F300X,740.0,2023-01-19T18:30:09.800000,17177,CHILINGARIAN,135.2742687733,52.64954160008,0,2813.1549,2023-07-20T03:27:04,2023-01-19T18:44:46.807000,IEYF17010,,,135.27377 52.6494,0.02004554277759656
IEYF17020,J090105.70+523857.8,1,0,WFC3,UVIS2,F475W,740.0,2023-01-19T18:47:29.800000,17177,CHILINGARIAN,135.2742687733,52.64954160008,0,4772.63625,2023-07-20T03:26:30,2023-01-19T19:02:03.800000,IEYF17020,,,135.27377 52.6494,0.02004554277759656
IEYF17030,J090105.70+523857.8,1,0,WFC3,UVIS2,F814W,740.0,2023-01-19T19:04:37.800000,17177,CHILINGARIAN,135.2742687733,52.64954160008,0,8034.189,2023-07-20T03:30:20,2023-01-19T19:19:11.800000,IEYF17030,,,135.27377 52.6494,0.02004554277759656
IEYF65010,J141738.88+072412.3,1,0,WFC3,UVIS2,F300X,696.0,2023-01-22T21:17:58.907000,17177,CHILINGARIAN,214.4121689639,7.403140146664,0,2813.1549,2023-07-23T01:40:30,2023-01-22T21:31:51.880000,IEYF65010,,,214.412 7.40343,0.020087885435107804
IEYF65020,J141738.88+072412.3,1,0,WFC3,UVIS2,F475W,696.0,2023-01-22T21:34:34.907000,17177,CHILINGARIAN,214.4121689639,7.403140146664,0,4772.63625,2023-07-23T01:51:24,2023-01-22T21:48:25.897000,IEYF65020,,,214.412 7.40343,0.020087885435107804
IEYF65030,J141738.88+072412.3,1,0,WFC3,UVIS2,F814W,637.0,2023-01-22T21:51:00.890000,17177,CHILINGARIAN,214.4121689639,7.403140146664,0,8034.189,2023-07-23T06:37:39,2023-01-22T22:03:52.873000,IEYF65030,,,214.412 7.40343,0.020087885435107804
IEYF79010,J162539.87+404804.3,1,0,WFC3,UVIS2,F300X,708.0,2023-09-05T07:23:56.533000,17177,CHILINGARIAN,246.4158067602,40.80141252645,0,2813.1549,2024-03-05T11:18:18,2023-09-05T07:38:01.507000,IEYF79010,,,246.41614 40.80119,0.020182761970234227
IEYF79020,J162539.87+404804.3,1,0,WFC3,UVIS2,F475W,708.0,2023-09-05T07:40:44.537000,17177,CHILINGARIAN,246.4158067602,40.80141252645,0,4772.63625,2024-03-05T13:46:38,2023-09-05T07:54:46.533000,IEYF79020,,,246.41614 40.80119,0.020182761970234227
IEYF79030,J162539.87+404804.3,1,0,WFC3,UVIS2,F814W,708.0,2023-09-05T07:57:20.533000,17177,CHILINGARIAN,246.4158067602,40.80141252645,0,8034.189,2024-03-05T12:49:56,2023-09-05T08:11:22.533000,IEYF79030,,,246.41614 40.80119,0.020182761970234227
IF2802010,J112339.01+232259.1,1,0,WFC3,UVIS2,F300X,696.0,2023-05-06T13:12:43.147000,17239,CHILINGARIAN,170.9124377745,23.38340151983,0,2813.1549,2023-11-07T03:03:55,2023-05-06T13:26:36.120000,IF2802010,,,170.91255 23.38308,0.02025706570402813
IF2802020,J112339.01+232259.1,1,0,WFC3,UVIS2,F350LP,696.0,2023-05-06T13:29:16.140000,17239,CHILINGARIAN,170.9124377745,23.38340151983,0,5862.50925,2023-11-07T02:58:36,2023-05-06T13:43:00.120000,IF2802020,,,170.91255 23.38308,0.02025706570402813
IF2802030,J112339.01+232259.1,1,0,WFC3,UVIS2,F600LP,669.0,2023-05-06T13:45:28.140000,17239,CHILINGARIAN,170.9124377745,23.38340151983,0,7460.8884,2023-11-07T03:03:36,2023-05-06T13:58:49.113000,IF2802030,,,170.91255 23.38308,0.02025706570402813
J9NP03010,NGC4713,1,0,ACS,WFC,F606W;CLEAR2L,2238.0,2006-12-20T13:27:27.267000,10829,MARTINI,192.4915833333,5.311302777778,6,5921.4365,2007-12-21T00:48:44.620000,2006-12-20T15:19:28.313000,J9NP03010,,,192.49116 5.31137,0.025610534076626258
ICYV01A1Q,SDSS-J152304.97+114553.6,0,0,WFC3,UVIS2,F475W,50.0,2016-06-23T13:26:09.977000,14187,BALDASSARE,230.77072,11.76488888889,2,4772.1709,2017-06-23T19:18:08,2016-06-23T13:26:59.977000,ICYV01A1Q,,,230.77126 11.76482,0.03198753427049658
ICYV01AAQ,SDSS-J152304.97+114553.6,0,0,WFC3,UVIS2,F775W,50.0,2016-06-23T15:14:23.993000,14187,BALDASSARE,230.77072,11.76488888889,2,7648.3047,2017-06-23T19:18:22,2016-06-23T15:15:13.960000,ICYV01AAQ,,,230.77126 11.76482,0.03198753427049658
ICYV01AHQ,SDSS-J152304.97+114553.6,0,0,WFC3,IR,F160W,299.231262,2016-06-23T17:16:28.457000,14187,BALDASSARE,230.77072,11.76488888889,2,15369.176,2017-06-23T21:06:47,2016-06-23T17:21:27.720000,ICYV01AHQ,,,230.77126 11.76482,0.03198753427049658
ICUU53010,SDSSJ152303.80+114546.0,1,0,WFC3,IRSUB512,F110W,972.183472,2016-09-08T05:18:35.867000,14251,REINES,230.7712616667,11.76482222222,2,11534.459,2017-09-09T10:23:36,2016-09-08T05:37:47.900000,ICUU53010,,,230.77072 11.76489,0.03207609676315343
ICYV01010,SDSS-J152304.97+114553.6,1,0,WFC3,UVIS2,F475W,2312.0,2016-06-23T11:52:37.977000,14187,BALDASSARE,230.7707042929,11.76491070747,2,4772.63625,2017-06-24T01:05:41,2016-06-23T12:37:33.960000,ICYV01010,,,230.77126 11.76482,0.03309259213629903
ICYV01020,SDSS-J152304.97+114553.6,1,0,WFC3,UVIS2,F775W,2424.0,2016-06-23T13:40:44.987000,14187,BALDASSARE,230.7707042929,11.76491070747,2,7649.834,2017-06-24T01:06:40,2016-06-23T15:12:13.960000,ICYV01020,,,230.77126 11.76482,0.03309259213629903
