ID,ra,dec
NSA168262_v0,332.29013,41.25738
NSA169861_v0,184.28861,12.45432
NSA17066_v0,147.9483209503730,3.1227554459491500
NSA171487_v0,68.17618,-4.38251
NSA171680_v0,57.34663,-11.99095
NSA18237_v0,221.62021,3.23674
NSA18913_v0,233.60663872292400,4.135191083654010
NSA18922_v0,234.19656,3.87134
NSA19138_v0,172.49015469850300,65.63471527163480
NSA1933_v0,204.56413191622000,-0.3985521715464430
NSA20438_v0,242.49462893575800,53.83646063484660
NSA20689_v0,245.67968,48.1693
NSA20724_v0,246.31104100967200,48.72138461231160
NSA213_v0,150.03500497129800,0.9848144301875800
NSA215903_v1,8.24004815381,-0.45402456406
NSA217124_v1,331.502946,0.913788
NSA24013_v0,41.645992255991200,0.12200165373279000
NSA24061_v0,46.685858124857100,-0.4087983822678120
NSA26828_v0,140.10781,50.82779
NSA26850_v0,143.1644322162150,51.26191923087210
NSA27397_v0,167.3016574460880,61.396408481379200
NSA28361_v0,225.36573,55.52602
NSA28499_v0,232.40637,51.61061
NSA29175_v0,237.89574,49.15154
NSA29476_v0,247.18075,40.5386
NSA29496_v0,247.05043,40.78861
NSA29661_v0,247.40744,40.56254
NSA29818_v0,253.46267,35.15256
NSA30020_v0,130.52053885599800,40.65957887909000
NSA30370_v0,168.33016183651900,4.740340546803280
NSA30845_v0,185.1012386159430,5.572834964207970
NSA30848_v0,189.54408,4.7583
NSA31028_v0,192.4911599021910,5.311374158030600
NSA31779_v0,123.4727604707470,31.140089707265400
NSA32284_v0,162.2063,51.44221
NSA32345_v0,165.1127328423740,49.96267870979240
NSA32762_v0,179.84306100429000,51.30257717353280
NSA33472_v0,123.4507,37.83548
NSA35813_v1,18.747954,0.245757
NSA35979_v0,125.0580466842810,30.417524566738700
NSA36154_v0,133.95105786254500,35.75051645809410
NSA36356_v0,143.11170350290400,42.0880440515334
NSA37942_v0,155.71759488102100,46.70577732286440
NSA39954_v0,146.77382523798800,5.0333075444662700
NSA39968_v0,144.58978017721600,6.525242716688730
NSA40222_v0,155.98226972306800,6.914680570183450
NSA42226_v0,321.23612,-0.64599
NSA43037_v0,210.31690716802400,51.873068042854
NSA4308_v0,263.01240180315600,59.98193678017920
NSA43149_v0,216.88337,50.5306
NSA43531_v0,238.0289,41.01816
NSA43887_v0,245.2828,35.37319
NSA44431_v0,27.4215,0.89644
NSA44590_v0,16.44724,0.50798
NSA46082_v0,246.94074,39.54874
NSA46135_v0,245.2672782935890,40.38954426633590
NSA46318_v0,246.99347,39.11786
NSA46392_v0,249.32004,36.04436
NSA46677_v0,125.89519747219000,3.2210423090385000
NSA47066_v0,132.8575680328040,39.594939829468
NSA47918_v0,136.904405967504,35.474556337526900
NSA48521_v0,171.6324326078320,9.920997981309190
NSA49099_v0,187.06652716703300,9.436358319803060
NSA49147_v0,190.14112366754300,9.457902024462340
NSA50121_v0,123.95451460985200,25.78374586876850
NSA50429_v0,136.94264527895500,33.1669121254538
NSA51220_v0,206.9903859974900,46.90969051754500
NSA51305_v0,211.86464814021000,47.08992902811950
NSA51425_v0,223.85791,43.22309
NSA51928_v0,146.08088,9.9848
NSA52494_v0,179.55224347820400,57.88949539143390
NSA52675_v0,185.92846309061800,58.246232753799700
NSA53138_v0,211.42644,55.45041
NSA53401_v0,219.74646937459900,51.12072944928950
NSA53568_v0,223.3096,49.63805
NSA54572_v0,207.414029872499,42.04482361425680
NSA55081_v0,154.44624227626300,39.53550593682190
NSA5563_v0,359.03827324279500,-0.4079972170618230
NSA56478_v0,207.8557153896270,40.2132408466087
NSA56919_v0,232.73690641003100,31.613748261117700
NSA57536_v0,236.7633758477860,34.222078876886600
NSA57593_v0,239.70603,32.81387
NSA57643_v0,239.79434,31.89822
NSA57867_v0,244.76036,29.17284
NSA5790_v0,5.440903605455080,0.5576308235564590
NSA58455_v0,248.04529661903600,29.02516790567590
NSA58532_v0,251.28789,25.67918
NSA58917_v1,148.57554,2.7413
NSA60536_v0,182.9816022000600,46.98221570316910
NSA6059_v0,15.02472893946970,-1.1830486138343700
NSA61000_v0,187.26806,42.57763
NSA61072_v0,189.99705,47.64714
NSA61479_v0,197.31678583075500,41.91370363026590
NSA61636_v0,200.78658,42.33871
NSA61967_v0,356.07417,0.78573
NSA62320_v0,20.6387,0.13574
NSA62560_v0,44.28604,-0.47988
NSA62996_v0,41.73501396032230,-0.5513779493678050
NSA631480_v1,214.21883,52.58077
NSA631492_v1,214.32795,52.51416
NSA631637_v1,215.66063,54.23446
NSA63191_v0,252.92803,19.42866
NSA63368_v0,249.55547,24.12642
NSA64022_v0,235.24838503152000,31.918696724686800
NSA64339_v0,122.93874926400300,23.473823790541000
NSA64526_v0,131.20473686319100,28.314885815648700
NSA64878_v0,141.94851420564800,33.20921267541040
NSA65192_v0,147.58370531435300,36.079600232427800
NSA66003_v0,165.582322371056,12.51863815753730
NSA66343_v0,178.49612365254000,13.148232927429300
NSA66491_v0,182.67692,13.31345
NSA67333_v0,186.69977,7.67155
NSA68133_v0,236.01806,27.8933
NSA68546_v0,248.17999,20.60363
NSA68765_v0,50.60267656986100,40.18882158241150
NSA68953_v0,205.48402689121100,50.11163968882650
NSA69037_v0,211.89794014238400,50.545372776504400
NSA69987_v0,252.65481,28.89324
NSA70104_v0,255.26872162092600,25.868891743256600
NSA70907_v0,211.29333525964700,11.771370632787100
NSA71023_v0,213.03530284356300,10.49828365736450
NSA7119_v0,34.89554,-0.40896
NSA71219_v0,216.8347262471620,11.014754117459600
NSA71565_v0,218.8476209059800,10.117832519024300
NSA72482_v0,229.03674244438900,8.758884673618050
NSA72721_v0,229.57438,8.34845
NSA72952_v0,232.30612253539600,8.502987014462460
NSA73346_v0,241.43573000331700,8.845538020339380
NSA73781_v0,138.98047409622700,10.10211850252570
NSA74602_v0,160.332533520968,14.61143229572790
NSA74744_v0,163.97972622374500,13.938048072142900
NSA7480_v0,42.10527374507770,-0.4281731356876950
NSA75073_v0,122.54455622035500,7.560303896923270
NSA75400_v0,184.1644,14.26028
NSA77431_v0,196.14551389632800,7.91808469311563
NSA77755_v0,198.98767,7.28419
NSA78105_v0,202.4247,10.61023
